Abalone	2	2	2	2	30	30	30	30	2.2214	1987
The Adventurers: The Temple of Chac	2	2	6	6	45	45	45	45	1.6686	2009
Alhambra: Big Box	2	2	6	6	60	60	60	60	2.3444	2009
The Ark of the Covenant	2	2	5	5	30	30	30	30	1.9231	2003
Armadöra	2	2	4	4	30	30	30	30	2.0182	2003
Bandu	2	2	8	8	15	15	45	45	1.3071	1987
BANG!	3	4	7	8	20	20	40	40	1.6397	2002
Batik	2	2	2	2	10	10	10	10	1.1224	1997
Birds of a Feather	1	1	7	7	15	15	15	15	1.2857	2015
Bison: Thunder on the Prairie	2	2	4	4	90	90	90	90	2.7237	2006
Bohnanza	2	2	7	7	45	45	45	45	1.6779	1997
Broom Service	2	2	5	5	30	30	75	75	2.3944	2015
BUS	2	2	3	3	20	20	20	20	1.4286	2015
Carcassonne	2	2	5	5	30	30	45	45	1.9453	2000
Chess	2	2	2	2	60	60	60	60	3.7503	1475
Citadels	2	2	8	8	20	20	60	60	2.0626	2000
Cleopatra and the Society of Architects	3	3	5	5	60	60	60	60	2.2848	2006
Coin Age	2	2	2	2	15	15	15	15	1.322	2013
Coloretto	2	2	5	5	30	30	30	30	1.2946	2003
Coup: The Resistance Universe	2	2	6	6	15	15	15	15	1.448	2012
Day & Night	2	2	2	2	45	45	45	45	2.4545	2008
Dixit	3	3	6	6	30	30	30	30	1.2775	2008
Dominoes Double Twelve	2	2	10	10	30	30	30	30	1.4078	1500
Dutch Blitz	2	2	4	4	1	1	15	15	1.3333	1960
Escape: The Curse of the Temple – Big Box	1	1	6	6	10	10	10	10	1.4595	2014
Flash Point: Fire Rescue	1	1	6	6	45	45	45	45	2.2171	2011
FLY	2	2	4	4	10	10	10	10	1.1111	2015
Forbidden Desert	2	2	5	5	45	45	45	45	2.0445	2013
Frank's Zoo	3	3	7	7	60	60	60	60	1.5318	1999
The Game of THINGS...	4	4	15	15	45	45	45	45	1.2639	2002
GEM	2	2	4	4	15	15	15	15	2.1429	2015
Gobblet	2	2	2	2	20	20	20	20	1.875	2000
Hanabi	2	2	5	5	25	25	25	25	1.695	2010
Hey, That's My Fish!	2	2	4	4	20	20	20	20	1.4654	2003
HUE	2	2	5	5	10	10	10	10	1.1111	2015
Ice Flow	2	2	4	4	45	45	45	45	2.1449	2008
Imaginiff	3	3	8	8	30	30	30	30	1.2232	1998
Jambo	2	2	2	2	30	45	45	45	2.0736	2004
Kill Doctor Lucky	3	3	7	7	45	45	45	45	1.6538	1996
King of Tokyo	2	2	6	6	30	30	30	30	1.5179	2011
Kingsburg	2	2	5	5	90	90	90	90	2.4359	2007
LIE	2	2	6	6	20	20	20	20	1.5	2015
Lord of the Rings	2	2	5	6	120	60	60	90	2.5765	2000
Love Letter	2	2	4	4	20	20	20	20	1.2101	2012
Lunch Money	2	2	4	4	20	20	20	20	1.5179	1996
Lupin the 3rd	2	2	5	5	90	90	90	90	2.4545	2011
Mille Bornes	2	2	6	6	45	45	45	45	1.2637	1954
Monad	2	2	4	4	45	45	60	60	2.0312	1969
Murder of Crows	2	2	5	5	20	20	20	20	1.2941	2012
Mystery of the Abbey	3	3	6	6	120	120	120	120	2.2135	1995
No Thanks!	3	3	5	5	20	20	20	20	1.1554	2004
Password New 12th Edition	3	3	4	4	30	30	30	30	1.5342	1962
Password Plus	4	4	4	4	30	30	30	30	1.5	1978
Pirate's Cove	3	3	5	5	60	60	90	90	2.0013	2002
Power Grid	2	2	6	6	120	120	120	120	3.29	2004
Quoridor	2	2	4	4	15	15	15	15	1.921	1997
The Resistance: Avalon	5	5	10	10	30	30	30	30	1.7869	2012
Saboteur	2	3	10	12	30	30	30	45	1.3384	2004
Samurai Sword	3	3	7	8	20	20	40	40	1.7422	2012
Scotland Yard	3	3	6	6	45	45	45	45	1.9656	1983
SET	1	1	20	20	30	30	30	30	1.7115	1988
Shadows over Camelot	3	3	7	8	60	60	80	90	2.5607	2005
SHH	2	2	4	4	10	10	10	10	1.5	2015
Small World	2	2	5	5	40	40	80	80	2.3739	2009
Splendor	2	2	4	4	30	30	30	30	1.8521	2014
Sushi Go!	2	2	5	5	15	15	15	15	1.1718	2013
Taboo	4	4	10	10	20	20	20	20	1.244	1989
TAJ	2	2	4	4	10	10	10	10	2.25	2015
Tales & Games: The Hare & the Tortoise	2	2	5	5	15	15	15	15	1.4624	2011
Tales of the Arabian Nights	1	1	6	6	120	120	120	120	2.1766	2009
Ticket to Ride	2	2	5	5	30	30	60	60	1.8844	2004
Ticket to Ride: Europe	2	2	5	5	30	30	60	60	1.9685	2005
TKO	2	2	2	2	5	5	5	5	1	2015
Traditional Card Games	0	0	0	0	0	0	0	0	2.0536	0
Tsuro	2	2	8	8	15	15	15	15	1.2667	2004
Two Rooms and a Boom	6	6	30	30	15	15	15	15	1.4375	2013
Zooloretto	2	2	5	5	45	45	45	45	1.865	2007
